,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Race - Ethnicity,Sex,Level of Supervision,Recidivism - Prison Admission
57672,2.0,4.0,4.3,8,1,5.0,0
57673,2.0,2.0,2.3,8,1,5.0,0
57674,2.0,2.0,2.3,8,1,5.0,0
57675,2.0,3.0,3.1,8,1,5.0,0
57676,2.0,1.0,1.1,8,1,5.0,0
57677,2.0,2.0,2.3,8,1,5.0,0
57678,1.0,2.0,2.3,8,1,5.0,0
57679,5.0,3.0,3.2,8,1,5.0,0
57680,10.0,3.0,3.2,8,0,5.0,0
57681,5.0,4.0,4.1,8,1,5.0,0
57682,2.0,1.0,1.1,8,1,5.0,0
57683,0.1,3.0,3.3,8,0,5.0,0
57684,5.0,1.0,1.1,8,0,5.0,0
57685,10.0,3.0,3.2,8,0,5.0,0
57686,2.0,1.0,1.3,8,1,5.0,0
57687,10.0,3.0,3.2,8,0,5.0,0
57688,2.0,1.0,1.1,8,1,5.0,0
57689,1.0,3.0,3.1,8,1,5.0,0
57690,2.0,2.0,2.3,8,1,5.0,0
57691,2.0,2.0,2.3,8,1,5.0,0
57692,1.0,2.0,2.3,8,1,5.0,0
57693,1.0,2.0,2.3,8,1,5.0,0
57694,2.0,5.0,5.2,8,0,5.0,0
57695,0.1,2.0,2.5,8,0,5.0,0
57696,2.0,1.0,1.4,8,0,5.0,0
57697,2.0,4.0,4.1,8,1,5.0,0
57698,10.0,2.0,2.5,8,0,5.0,0
57699,2.0,3.0,3.1,8,1,5.0,0
57700,2.0,2.0,2.3,8,1,5.0,0
57701,2.0,4.0,4.3,8,0,5.0,0
57702,2.0,2.0,2.3,8,0,5.0,0
57703,1.0,3.0,3.1,8,0,5.0,0
57704,2.0,2.0,2.7,8,0,5.0,0
57705,1.0,2.0,2.3,8,1,5.0,0
57706,5.0,3.0,3.2,8,0,5.0,0
57707,2.0,1.0,1.2,8,1,5.0,0
57708,2.0,4.0,4.1,8,1,5.0,0
57709,5.0,1.0,1.4,8,1,5.0,0
57710,2.0,2.0,2.6,8,1,5.0,0
57711,1.0,2.0,2.3,8,1,5.0,0
57712,1.0,2.0,2.3,8,1,5.0,0
57713,1.0,2.0,2.3,8,1,5.0,0
57714,1.0,4.0,4.4,8,1,5.0,0
57715,5.0,3.0,3.2,8,1,5.0,0
57716,2.0,2.0,2.3,8,0,5.0,0
57717,1.0,4.0,4.1,8,1,5.0,0
57718,2.0,1.0,1.1,8,0,5.0,0
57719,2.0,2.0,2.1,8,1,5.0,0
57720,1.0,2.0,2.3,8,0,5.0,0
57721,1.0,2.0,2.3,8,0,5.0,0
57722,5.0,1.0,1.3,8,1,5.0,0
57723,1.0,4.0,4.1,8,1,5.0,0
57724,5.0,3.0,3.2,8,0,5.0,0
57725,1.0,1.0,1.1,8,1,5.0,0
57726,1.0,3.0,3.1,8,0,5.0,0
57727,1.0,2.0,2.3,8,1,5.0,0
57728,1.0,2.0,2.3,8,1,5.0,0
57729,1.0,2.0,2.3,8,1,5.0,0
57730,1.0,4.0,4.1,8,1,5.0,0
57731,5.0,3.0,3.2,8,1,5.0,0
57732,10.0,3.0,3.2,8,1,5.0,0
57733,5.0,1.0,1.3,8,1,5.0,0
57734,2.0,4.0,4.1,8,1,5.0,0
57735,2.0,2.0,2.3,8,0,5.0,0
57736,2.0,2.0,2.3,8,1,5.0,0
57737,1.0,3.0,3.1,8,1,5.0,0
57738,1.0,2.0,2.3,8,1,5.0,0
57739,2.0,4.0,4.1,8,0,5.0,0
57740,1.0,1.0,1.1,8,0,5.0,0
57741,2.0,2.0,2.3,8,1,5.0,0
57742,5.0,3.0,3.2,8,1,5.0,0
57743,5.0,1.0,1.3,8,0,5.0,0
57744,5.0,1.0,1.1,8,1,5.0,0
57745,100.0,3.0,3.2,8,1,5.0,0
57746,1.0,2.0,2.3,8,1,5.0,0
57747,1.0,3.0,3.1,8,1,5.0,0
57748,2.0,2.0,2.3,8,1,5.0,0
57749,1.0,2.0,2.3,8,0,5.0,0
57750,2.0,2.0,2.3,8,1,5.0,0
57751,5.0,3.0,3.2,8,1,5.0,0
57752,2.0,2.0,2.3,8,0,5.0,0
57753,1.0,3.0,3.1,8,1,5.0,0
57754,1.0,2.0,2.3,8,1,5.0,0
57755,1.0,3.0,3.1,8,1,5.0,0
57756,1.0,1.0,1.1,8,0,5.0,0
57757,2.0,4.0,4.1,8,1,5.0,0
57758,2.0,2.0,2.3,8,1,5.0,0
57759,10.0,3.0,3.2,8,0,5.0,0
57760,2.0,1.0,1.4,8,1,5.0,0
57761,1.0,2.0,2.3,8,1,5.0,0
57762,1.0,2.0,2.3,8,1,5.0,0
57763,2.0,2.0,2.3,8,1,5.0,0
57764,1.0,2.0,2.3,8,1,5.0,0
57765,1.0,3.0,3.1,8,1,5.0,0
57766,0.1,2.0,2.2,8,1,5.0,0
57767,2.0,2.0,2.6,8,1,5.0,0
57768,2.0,2.0,2.3,8,1,5.0,0
57769,1.0,2.0,2.3,8,1,5.0,0
57770,1.0,2.0,2.3,8,1,5.0,0
57771,2.0,1.0,1.3,8,1,5.0,0
57772,2.0,2.0,2.3,8,1,5.0,0
57773,1.0,2.0,2.3,8,1,5.0,0
57774,2.0,2.0,2.3,8,0,5.0,0
57775,2.0,1.0,1.1,8,0,5.0,0
57776,2.0,1.0,1.1,8,1,5.0,0
57777,2.0,1.0,1.3,8,0,5.0,0
57778,2.0,4.0,4.1,8,1,5.0,0
57779,2.0,2.0,2.3,8,1,5.0,0
